Indicator,Country,Year,Value
"Mortality caused by road traffic injury (per 100,000 people)","Afghanistan","2013","15.5"
"Mortality caused by road traffic injury (per 100,000 people)","Afghanistan","2016","15.1"
"Mortality caused by road traffic injury (per 100,000 people)","Albania","2013","15.1"
"Mortality caused by road traffic injury (per 100,000 people)","Albania","2016","13.6"
"Mortality caused by road traffic injury (per 100,000 people)","Algeria","2013","23.8"
"Mortality caused by road traffic injury (per 100,000 people)","Algeria","2016",".."
"Mortality caused by road traffic injury (per 100,000 people)","American Samoa","2013",".."
"Mortality caused by road traffic injury (per 100,000 people)","American Samoa","2016",".."
"Mortality caused by road traffic injury (per 100,000 people)","Andorra","2013","7.6"
"Mortality caused by road traffic injury (per 100,000 people)","Andorra","2016",".."
"Mortality caused by road traffic injury (per 100,000 people)","Angola","2013","26.9"
"Mortality caused by road traffic injury (per 100,000 people)","Angola","2016","23.6"
"Mortality caused by road traffic injury (per 100,000 people)","Antigua and Barbuda","2013","6.7"
"Mortality caused by road traffic injury (per 100,000 people)","Antigua and Barbuda","2016","7.9"
"Mortality caused by road traffic injury (per 100,000 people)","Argentina","2013","13.6"
"Mortality caused by road traffic injury (per 100,000 people)","Argentina","2016","14"
"Mortality caused by road traffic injury (per 100,000 people)","Armenia","2013","18.3"
"Mortality caused by road traffic injury (per 100,000 people)","Armenia","2016","17.1"
"Mortality caused by road traffic injury (per 100,000 people)","Aruba","2013",".."
"Mortality caused by road traffic injury (per 100,000 people)","Aruba","2016",".."
"Mortality caused by road traffic injury (per 100,000 people)","Australia","2013","5.4"
"Mortality caused by road traffic injury (per 100,000 people)","Australia","2016","5.6"
"Mortality caused by road traffic injury (per 100,000 people)","Austria","2013","5.4"
"Mortality caused by road traffic injury (per 100,000 people)","Austria","2016","5.2"
"Mortality caused by road traffic injury (per 100,000 people)","Azerbaijan","2013","10"
"Mortality caused by road traffic injury (per 100,000 people)","Azerbaijan","2016","8.7"
"Mortality caused by road traffic injury (per 100,000 people)","Bahamas, The","2013","13.8"
"Mortality caused by road traffic injury (per 100,000 people)","Bahamas, The","2016",".."
"Mortality caused by road traffic injury (per 100,000 people)","Bahrain","2013","8"
"Mortality caused by road traffic injury (per 100,000 people)","Bahrain","2016",".."
"Mortality caused by road traffic injury (per 100,000 people)","Bangladesh","2013","13.6"
"Mortality caused by road traffic injury (per 100,000 people)","Bangladesh","2016","15.3"
"Mortality caused by road traffic injury (per 100,000 people)","Barbados","2013","6.7"
"Mortality caused by road traffic injury (per 100,000 people)","Barbados","2016","5.6"
"Mortality caused by road traffic injury (per 100,000 people)","Belarus","2013","13.7"
"Mortality caused by road traffic injury (per 100,000 people)","Belarus","2016","8.9"
"Mortality caused by road traffic injury (per 100,000 people)","Belgium","2013","6.7"
"Mortality caused by road traffic injury (per 100,000 people)","Belgium","2016","5.8"
"Mortality caused by road traffic injury (per 100,000 people)","Belize","2013","24.4"
"Mortality caused by road traffic injury (per 100,000 people)","Belize","2016","28.3"
"Mortality caused by road traffic injury (per 100,000 people)","Benin","2013","27.7"
"Mortality caused by road traffic injury (per 100,000 people)","Benin","2016","27.5"
"Mortality caused by road traffic injury (per 100,000 people)","Bermuda","2013",".."
"Mortality caused by road traffic injury (per 100,000 people)","Bermuda","2016",".."
"Mortality caused by road traffic injury (per 100,000 people)","Bhutan","2013","15.1"
"Mortality caused by road traffic injury (per 100,000 people)","Bhutan","2016","17.4"
"Mortality caused by road traffic injury (per 100,000 people)","Bolivia","2013","23.2"
"Mortality caused by road traffic injury (per 100,000 people)","Bolivia","2016","15.5"
"Mortality caused by road traffic injury (per 100,000 people)","Bosnia and Herzegovina","2013","17.7"
"Mortality caused by road traffic injury (per 100,000 people)","Bosnia and Herzegovina","2016","15.7"
"Mortality caused by road traffic injury (per 100,000 people)","Botswana","2013","23.6"
"Mortality caused by road traffic injury (per 100,000 people)","Botswana","2016","23.8"
"Mortality caused by road traffic injury (per 100,000 people)","Brazil","2013","23.4"
"Mortality caused by road traffic injury (per 100,000 people)","Brazil","2016","19.7"
"Mortality caused by road traffic injury (per 100,000 people)","British Virgin Islands","2013",".."
"Mortality caused by road traffic injury (per 100,000 people)","British Virgin Islands","2016",".."
"Mortality caused by road traffic injury (per 100,000 people)","Brunei Darussalam","2013","8"
"Mortality caused by road traffic injury (per 100,000 people)","Brunei Darussalam","2016",".."
"Mortality caused by road traffic injury (per 100,000 people)","Bulgaria","2013","8.3"
"Mortality caused by road traffic injury (per 100,000 people)","Bulgaria","2016","10.2"
"Mortality caused by road traffic injury (per 100,000 people)","Burkina Faso","2013","30"
"Mortality caused by road traffic injury (per 100,000 people)","Burkina Faso","2016","30.5"
"Mortality caused by road traffic injury (per 100,000 people)","Burundi","2013","31.3"
"Mortality caused by road traffic injury (per 100,000 people)","Burundi","2016","34.7"
"Mortality caused by road traffic injury (per 100,000 people)","Cabo Verde","2013","26.1"
"Mortality caused by road traffic injury (per 100,000 people)","Cabo Verde","2016","25"
"Mortality caused by road traffic injury (per 100,000 people)","Cambodia","2013","17.4"
"Mortality caused by road traffic injury (per 100,000 people)","Cambodia","2016","17.8"
"Mortality caused by road traffic injury (per 100,000 people)","Cameroon","2013","27.6"
